166.0917, 50.6108, -14.5354 | -4.9992, 3.1697, -0.48067 | 12.8472, 10.4956, 13.0362
166.0917, 50.6108, -14.5354 | -2.0211, -0.18976, 0.011444 | 12.8472, 10.4956, 13.0362
166.0917, 50.6108, -14.5354 | -2.0211, -0.18976, 0.011444 | 12.8837, 10.4884, 13.0269
166.0917, 50.6108, -14.5354 | -2.0211, -0.18976, 0.011444 | 12.8837, 10.4884, 13.0269
-101.3575, -20.4959, -49.7479 | -2.0211, -0.18976, 0.011444 | 12.8837, 10.4884, 13.0269
-101.3575, -20.4959, -49.7479 | 3.018, -1.0775, -11.3577 | 12.8837, 10.4884, 13.0269
-101.3575, -20.4959, -49.7479 | 3.018, -1.0775, -11.3577 | 12.8837, 10.4884, 13.0269
-101.3575, -20.4959, -49.7479 | 3.018, -1.0775, -11.3577 | 12.874, 10.4935, 13.0176
-101.3575, -20.4959, -49.7479 | 1.1351, -2.5655, -5.0428 | 12.874, 10.4935, 13.0176
-101.3575, -20.4959, -49.7479 | 1.1351, -2.5655, -5.0428 | 12.874, 10.4935, 13.0176
9.1415, -62.4143, 22.1386 | 1.1351, -2.5655, -5.0428 | 12.874, 10.4935, 13.0176
9.1415, -62.4143, 22.1386 | 1.1351, -2.5655, -5.0428 | 12.8692, 10.484, 13.0124
9.1415, -62.4143, 22.1386 | 7.7493, 10.8405, 2.7681 | 12.8692, 10.484, 13.0124
81.2813, -73.3135, 175.4641 | 7.7493, 10.8405, 2.7681 | 12.8692, 10.484, 13.0124
81.2813, -73.3135, 175.4641 | 7.7493, 10.8405, 2.7681 | 12.8692, 10.484, 13.0124
81.2813, -73.3135, 175.4641 | 7.7493, 10.8405, 2.7681 | 12.8636, 10.4771, 13.018
81.2813, -73.3135, 175.4641 | -0.50467, 6.4393, -9.1109 | 12.8636, 10.4771, 13.018
81.2813, -73.3135, 175.4641 | -0.50467, 6.4393, -9.1109 | 12.8636, 10.4771, 13.018
81.2813, -73.3135, 175.4641 | -0.50467, 6.4393, -9.1109 | 12.8636, 10.4771, 13.018
81.2813, -73.3135, 175.4641 | -0.50467, 6.4393, -9.1109 | 12.8636, 10.4771, 13.018
